Publishing Cities,Country / Kingdom through the centuries,No. of Publishing Houses,No. of publications,Crises,Top 5 Crises,VD16,VD16 %,VD17,VD17 %,VD18,V18 %,Depopulation,University city?,Year of founding (University),Religion of the University,Patron of the Universities,Religion of City,Notes
Leipzig,"Saxon Territory (Albertine line of the House of Wettin, Electorate of Saxony)",,134585,1517 onward- Reformation crisis and rapid expansion of confessional print; 1520- Leipzig printers affected by restrictions on printing/selling Wittenberg Reformation works; 1513-16th century- Privilege and reprinting pressure in the German book trade; 1543 onward- Permanent censorship regime at Leipzig; 1555 onward- Post-Peace of Augsburg confessional regulation; 1570s-1590s- Crypto-Calvinist controversy in Saxony; 1618-1648- Thirty Years' War; 1631- Battle of Breitenfeld near Leipzig / siege pressure; 1632- Battle of Lützen near Leipzig; 1642- Second Battle of Breitenfeld / renewed siege pressure; 1630s-1640s- Wartime news and information crisis; 1648 onward- Post-Westphalia recovery and commercial restructuring; 17th century- Shift in book-trade gravity from Frankfurt toward Leipzig; 1687 onward- Leipzig Books Commission / censorship and reprint regulation; 1740-1748- War of the Austrian Succession; 1756-63- Seven Years' War; 1773- Saxon Statute on book privileges and reprinting; Late 18th century- Unauthorised reprinting / piracy crisis,VD16- 1517-1524: Reformation print restrictions and rapid exapansion of Confessional print; 1543-1555: Permanent  Censorship regime at Leipzig; VD17- 1618-1648: Thirty Years' War; 1631-1642: Battle of Breitenfeld / Local war & siege pressure; VD18- 1773-1800: Saxon Statute on book privileges + reprinting,9471,8.39%,29190,8.88%,95924,13.57%,YES; 1631-1642 AD- 18000 to 12000,Yes,1409,"Catholic (1409), then Lutheran (1539)","Landgraves of Thuringia (1409), then Duke & Elector of Saxony (1547)","1539 reformation, afterwards mostly lutherian","Largest student population after 1585, clung to the traditional curricula, modernization began in the early 18th century with new professorships for chemistry and natural law"
Wittenberg,"Saxon Territory (Original residence of Electorate of Saxony, Albertine line of the House of Wettin, lost status to Dresden in the Schmalkalden War in 1547)",,52557,"1517 onward- Reformation crisis and rapid rise of Lutheran print; 1520s- Explosion of Luther pamphlets and Protestant tract production; 1527- Plague outbreak in Wittenberg; 1546- Death of Luther and transition of Wittenberg's reformist authority; 1547- Schmalkaldic War / Capitulation of Wittenberg; Late 16th century- Lutheran orthodoxy and confessional consolidation; 1618-1648- Thirty Years' War; Mid 1620s- Proximity to fighting affects Saxon universities, including Wittenberg; 1630s-1640s- Refugee pressure, disease outbreaks, high mortality, and university disruption; 1648 onward- Post-Westphalia recovery and continued Lutheran university print; 1756-1763- Seven Years' War; 1760- Bombardment of Wittenberg and damage to Castle Church",VD16- 1517-1530: Reformation crisis and rapid rise of Lutheran print; 1527-1528: Plague outbreak; 1546-1547: Luther's death &Schmalkaldic War; VD17- 1618-1648- Thirty Years' War; VD18- 1756-1763- Seven Years' War,12908,11.43%,21690,6.60%,17959,2.54%,"YES; During the Thirty Years' War, Wittenberg's suburbs were directly affected while the city itself was relatively protected. Refugees entered the city, causing disease outbreaks, high mortality rates, and disruption to university operations. The Saxon universities, including Wittenberg, also suffered temporarily from proximity to fighting in the mid-1620s, though they recovered by 1627-1628.",Yes,1502,"Catholic (1502), then Lutheran (1533)","Duke & Elector of Ernestine Saxony (1502), Duke & Elector of Albertine Saxony (1547), Brandenburg-Prussia (1815)","1517, epicenter of the Reformation","Wittenberg introduced the new humanistic studies of Melanchthon’s reform movement and became the model for the other Protestant universities, standing as the premier German university from the mid-16th century to the early 17th century
1536: re-established theology faculty"
Jena,"Saxon Territory (Albertine line of the House of Wettin, Electorate of Saxony)",,46634,"Late 16th century- Lutheran orthodoxy and university-theological publishing; 1618-1648- Thirty Years' War; Mid 1620s- Military proximity temporarily affects Saxon universities, including Jena; 1630s-1640s- War, disease, refugee, and mortality pressure across urban Germany; 1648 onward- Post-Westphalia recovery of university and Lutheran print; 1672-1690- Duchy of Saxe-Jena and territorial-political reorganisation; 18th century- Expansion of university, philosophical, theological, and scholarly publishing; 1756-1763- Seven Years' War; 1790s- French Revolutionary crisis environment",,3391,3.00%,22619,6.88%,20624,2.92%,"YES; Jena was affected by the Thirty Years' War and by proximity to fighting in the mid-1620s. The Saxon universities, including Jena, suffered temporarily, though the losses were relatively slight, and recovery followed in 1627-1628. Overcrowding and unsanitary conditions allowed deadly waves of disease to sweep through the region. It is estimated that up to \(40\%\) of the population in the broader German-speaking territories died during this century.",Yes,1558,Lutheran,Duke of Saxony,1536 reformation,"Competition with Wittenberg, rising enrollment until Thirty Years War, then at the end of the 17th century rose again
Significance in theology, classics education, Latin; which led to more students in law 
New professorship for philosophy in 1770"
Berlin,"Brandenburg-Prussia (residence city of the Hohenzollern dynasty, the Electors of Brandenburg, who became Kings in Prussa starting in 1701)",,30264,"1539- Brandenburg adopts Lutheranism; 1576- Plague outbreak in Berlin; 1598- Plague outbreak in Berlin; 1618-1648- Thirty Years' War; 1648- Berlin population reduced by half to 6,000; 1648 onward- Post-war reconstruction under the Great Elector; 1658-83- Berlin-Cölln fortified after the war; 1685 onward- Huguenot immigration after the Edict of Potsdam; 1699- Plague outbreak in Berlin; 1701- Berlin becomes royal capital of Prussia; 1740-48- War of the Austrian Succession / Silesian Wars; 1756-63- Seven Years' War; 1758 onward- Friedrich Nicolai begins independent bookseller-publisher career during the Seven Years' War; Late Eighteenth century- Censorship, privilege, piracy, and political dissent; 1789 onward- French Revolution and political information crisis",,298,0.26%,2816,0.86%,27150,3.84%,"YES; By 1648, the population dropped by half to 6000.",No ,NaN,NaN,NaN,1539 reformation,
Nürnberg,Free Imperial City (Holy Roman Empire),,29910,"1520s-1530s- Council-led religious control of Reformation print; 1561- Nuremberg Printers' Ordinance; Late 16th century- Expansion of broadsheets and visual-news print; 1618-1648- Thirty Years' War; 1632- Siege of Nuremberg / Alte Veste campaign; 1634- Plague strikes Nuremberg after war-related weakening; 1630s-1640s- Wartime news and information crisis; 1648 onward- Post-war debt and slow recovery; 1673- Second Nuremberg Printers' Ordinance; 17th century- Reprinting, privilege, and authenticity pressure; 18th century- Economic stagnation and civic indebtedness; Late 18th century- Wider German book-trade regulation and reprinting pressure",VD16- 1517-1525: Reformation print; 1520-1548: counterfeit Luther/Wittenberg imprints; 1525-1530- Nürnberg adopts the Reformation; 1561-1570: Printers' Ordinance; VD17- 1673-1700- Printers' Ordinance,6784,6.01%,12254,3.73%,10872,1.54%,"The exact rate of depopulation requires empirical determination; In 1622, 10,069 households were registered in this city; With four to five persons per household, the number of inhabitants most likely lay between 40,000 and 50,000 (Porzelt, Pest in Nürnberg, 34–35). Around the beginning
of the Thirty Years’ War, its population had risen to about 45,000. Decline in population due to 1632 Siege of Nuremberg and surrounding military devastation.",No ,NaN,NaN,NaN,1525 reformation ,"Erlangen has a university, which was founded in 1743, and is near Nuremberg"
Straßburg,"Border-Changer
16th century: Protestant Free Imperial City
1681: Annexed by King Louis XIV of France",,22713,"1480-1599-Major expansion of Strasbourg printing: nearly 6,000 editions by 77 printers; 1517 onward- Reformation crisis and Protestant print expansion; 1520s-1540s-Bucer, Capito, and Strasbourg reformist publishing; 1523-1541- Protestant music, psalm, hymn, and liturgical print; 1530-Tetrapolitan Confession / confessional definition crisis; 1548-1552- Augsburg Interim and imperial pressure on Protestant cities; 1555 onward- Peace of Augsburg and Lutheran consolidation; 1618-1648- Thirty Years' War; Strasbourg remains neutral; 1630s- Regional war, plague, famine, and refugee pressure (requires further verification); 1648- Peace of Westphalia and Alsace geopolitical shift; 1681- French annexation by Louis XIV; 1681 onward- French rule, censorship, and Strasbourg's special civic publishing status; 18th century- French-German cross-border book trade and translation market; 1789 onward- French Revolution and collapse of old civic privileges",,6411,5.68%,7669,2.33%,8633,1.22%,NO,Yes,1621,Lutheran,Town Council of Straßburg,"1521 reformation, after annexation re-Catholization, but Protestant faith was legally tolerated ","University Years: 1621-1792, 1872-1918
Law and philosophy strongest faculties"
"Halle, Saale","Saxon Territory (ruled by the Archbishops of Magdeburg, it was incorporated into Brandenburg-Prussia in 1680)",,21057,"1541-Reformation introduced in Halle; 1618-1648- Thirty Years' War; 1625- Occupation by Wallenstein's imperial troops; 1637- Moritzburg burned during the war; 1648 onward- Post-war recovery and economic-demographic weakness; 1680 onward- Halle passes to Brandenburg-Prussia; 1681-83- Severe plague in Halle; 1682- Peak of plague wave; mandates and civic health communication; 1694- University of Halle founded; 1698- Francke Foundations established; 1701- Halle becomes part of Kingdom of Prussia; 1706 onward- Danish-Halle Mission and missionary knowledge network; 1710- Canstein Bible Institute founded;18th century- Pietist, educational, Bible, missionary, and scholarly publishing expansion; 1756-63- Seven Years' War; Late 18th century- Enlightenment/Pietist controversy, censorship, and university-intellectual pressure.",,10,0.01%,4388,1.33%,16659,2.36%,YES; 1641-43 AD- over half of the population (5000 people) died. 1642 was the peak year.,Yes,1694,Lutheran,"Margrave & Elector of Brandenburg (1694), then King of Westphalia (1806), then Brandenburg-Prussia (1815)",1541 reformation,"Halle was the largest of the four Prussian universities, and the premier German university of the 18th century, rivaled only by the newly-formed Göttingen"
Helmstedt,The Welf Territories (Duchy of Brunswick-Lüneburgwelf),,20779,"1576-Foundation of University of Helmstedt / Academia Julia; 1578 onward- University printing press; Lucius family becomes central to Helmstedt printing; Late 16th century- Protestant university identity and scholarly-theological print; 1618-48- Thirty Years' War; 1625- Plague outbreak; one quarter to one third of population dies; 1625-26- University teaching suspended because of war and plague; Post 1648- Recovery and continuation of university-based publishing; Late 17th century- Confessional and scholarly controversy around Helmstedt theologians and scholars; 1756-63- Seven Years' War, to be tested as possible disruption; Late 18th century- University competition and decline; 1809-10- University of Helmstedt closed under the Kingdom of Westphalia",,2529,2.24%,8104,2.46%,10146,1.44%,"YES; In 1625, plague broke out in Helmstedt during the Thirty Years' War, and one quarter to one third of the population died. By November 1625, one-third of the inhabitants had died, and 295 burgher houses stood empty. The crisis was serious enough that university teaching was suspended until 1626.",Yes,1576,Lutheran,"Duke of Brunswick-Wolffenbüttel (1576), then King of Westphalia (1806)",1568 reformation,University years: 1576-1809
Augsburg,Free Imperial City (Holy Roman Empire),,20016,"1517 onward- Reformation crisis and rapid demand for Protestant/Reformation print; 1518- Diet of Augsburg and Luther's examination before Cardinal Cajetan; 1530- Diet of Augsburg and Augsburg Confession; 1530s-1550s- Imperial supervision and censorship of print after the Diet of Augsburg; 1555 onward- Peace of Augsburg and long-term confessional division; Late 16th century- Expansion of engraving and visual print market in Augsburg; 1618-1648- Thirty Years' War; 1628- Major plague epidemic, about 9,000 deaths; 1632- Swedish occupation / Protestant military-political dominance; 1635- Census records severe demographic decline and confessional division: 16,432 inhabitants, 12,017 Protestant and 4,415 Catholic; 1648- Peace of Westphalia and Augsburg's parity settlement; After 1648 & especially after 1670- Catholic immigration changes confessional relations in Augsburg's book trade; Mid to late 17th century- Censorship pressure, fines, imprisonment, confiscation risk; Late 17th century- Catholic-Protestant publishing competition; 18th century- Continued censorship, confessional regulation, market competition, and devotional/illustrated print economy",VD16- 1517-1525: Reformation crisis and rapid demand for Protestant/Reformation print; 1518-1519: Diet of Augsburg and Luther's examination before Cardinal Cajetan; 1530-1531: Augsburg Confession; VD17- 1628-1635: Major plague epidemic and demographic collapse; 1670-1700: Catholic immigration changes confessional relations in Augsburg's book trade.,3905,3.46%,3584,1.09%,12527,1.77%,"YES; 1500- 30000 inhabitants; By 1618's Thirty Years' War- Increase in population by 10.000; 1628- 9000 deaths due to plague epidemic; By 1635- Only 16432 inhabitants (recorded by census, of whom 12017 were Protestants and 4,415 were Catholics)",No ,NaN,NaN,NaN,"1534/1537 reformation, Peace of Augsburg: biconfessional",
Hamburg,Free Imperial City (Holy Roman Empire),,19752,"1529 onward-Reformation adopted in Hamburg; Lutheran civic-religious print; Late 16th century- Commercial expansion and merchant/refugee migration; 1618-48- Thirty Years' War; Hamburg becomes refuge rather than depopulation case; 1616-48- Population rises from c.40,000 to c.75,000 by end of war;1630s-1640s- Refugee and information crisis during the war; Mid to late 17th century- Hamburg rises as commercial and financial centre; 2nd half of the 17th century- Hamburg becomes major newspaper city in German-speaking world; 1675 onward- Hamburger Relations-Courier documented; 1700-1721- Great Northern War affects Baltic trade and plague circulation; 1712-1713- Plague in Hamburg; 18th century- Newspaper advertisements and commercial print culture; Late 18th century- Public sphere through newspapers, journals, pamphlets, songs, sermons; 1789 onward- French Revolution and political-information crisis; 1806-1814- Napoleonic occupation/annexation period",,460,0.41%,4845,1.47%,14447,2.04%,YES during the 1712–1713 plague.,No ,NaN,NaN,NaN,1577 reformation,
